accessionVersion,segment,nt_len,aa_len,identity_to_swiss,aa_differences_in_overlap,compared_aa,frame,orf_start,country,collectionDate,displayName,insdc,host,completeness,length_meta
PP_006WBLH.2,L,6561,2153,1.0,0,2153,2,34,Switzerland,2026-05-04,Switzerland/PP_006WBLH.2/2026-05-04,PZ385161.1,Homo sapiens,0.9996952148735142,6561
PP_006WDJK.1,L,6528,2153,1.0,0,2150,2,28,South Africa,2026-05-02,South_Africa/PP_006WDJK.1/2026-05-02,,Homo sapiens,0.9939042974702834,6528
PP_006XBKH.1,L,6545,2153,1.0,0,2153,1,30,France,2026-05-10,France/PP_006XBKH.1/2026-05-10,,Homo sapiens,0.9974093264248705,6545
PP_006WDKH.1,L,6478,2150,1.0,0,2140,3,26,South Africa,2026-04-26,South_Africa/PP_006WDKH.1/2026-04-26,,Homo sapiens,0.9849131362389515,6478
PP_006VZ4W.1,L,6540,2153,0.999071,2,2153,2,31,Argentina,,Argentina/PP_006VZ4W.1,MN258158.1,Homo sapiens,0.9966473636086559,6540
PP_006VZ5U.1,L,6545,2153,0.999071,2,2152,1,30,Argentina,,Argentina/PP_006VZ5U.1,MN258159.1,Homo sapiens,0.9972569338616275,6545
PP_006W0QL.1,L,6544,2153,0.999071,2,2153,3,32,Argentina,,Argentina/PP_006W0QL.1,OP555732.1,,0.9972569338616275,6544
PP_006W2HY.1,L,6561,2153,0.999071,2,2153,2,34,Chile,1999,Chile/PP_006W2HY.1/1999,PV808472.1,Homo sapiens,0.999847607436757,6561
PP_006W0CB.1,L,6466,2152,0.999071,2,2152,3,8,Chile,1999,Chile/PP_006W0CB.1/1999,MT956620.1,Homo sapiens,0.9853703139286802,6466
PP_006W2F3.1,L,6556,2153,0.998607,3,2153,1,30,Chile,2024-06-27,Chile/PP_006W2F3.1/2024-06-27,PV796318.1,Homo sapiens,0.9990856446205425,6556
PP_006W2G1.1,L,6549,2153,0.998607,3,2153,1,27,Chile,2024-06-27,Chile/PP_006W2G1.1/2024-06-27,PV808469.1,Homo sapiens,0.9980188966778422,6549
PP_006W2JW.1,L,6562,2153,0.998607,3,2153,3,35,Chile,2024-07-24,Chile/PP_006W2JW.1/2024-07-24,PV808475.1,Homo sapiens,1.0,6562
PP_006W2KU.1,L,6555,2153,0.998607,3,2153,2,28,Chile,2024-07-30,Chile/PP_006W2KU.1/2024-07-30,PV808478.1,Homo sapiens,0.9989332520572997,6555
PP_006W0RJ.1,L,6475,2152,0.998606,3,2152,3,17,Argentina,,Argentina/PP_006W0RJ.1,OP555733.1,,0.9867418469978665,6475
PP_006W0TE.1,L,6462,2151,0.998605,3,2151,3,8,Argentina,,Argentina/PP_006W0TE.1,OP555735.1,Mesocricetus auratus,0.9847607436757086,6462
PP_006W0SG.1,L,6475,2152,0.998141,4,2152,3,17,Argentina,,Argentina/PP_006W0SG.1,OP555734.1,,0.9867418469978665,6475
PP_006VZ3Y.1,L,6542,2153,0.997192,6,2137,1,30,Argentina,,Argentina/PP_006VZ3Y.1,MN258157.1,Homo sapiens,0.9900944833892106,6542
PP_006VZ6S.1,L,6539,2153,0.99674,7,2147,1,30,Argentina,,Argentina/PP_006VZ6S.1,MN258160.1,Homo sapiens,0.9946662602864981,6539
PP_006VX9N.1,L,6470,2153,0.99582,9,2153,3,8,Switzerland,2016-12-26,Switzerland/PP_006VX9N.1/2016-12-26,KY659431.1,Homo sapiens,0.9859798841816519,6470
PP_006VZ20.1,L,6546,2153,0.995355,10,2153,3,32,Argentina,,Argentina/PP_006VZ20.1,MN258156.1,Homo sapiens,0.9975617189881134,6546
PP_006VZAJ.1,L,6542,2153,0.995355,10,2153,1,30,Argentina,,Argentina/PP_006VZAJ.1,MN258164.1,Homo sapiens,0.9969521487351417,6542
PP_006VZBG.1,L,6541,2153,0.995355,10,2153,1,30,Argentina,,Argentina/PP_006VZBG.1,MN258165.1,Homo sapiens,0.9967997561718989,6541
PP_006VZCE.1,L,6543,2153,0.995355,10,2153,1,30,Argentina,,Argentina/PP_006VZCE.1,MN258166.1,Homo sapiens,0.9971045412983847,6543
PP_006VZDC.1,L,6531,2153,0.995355,10,2153,2,25,Argentina,,Argentina/PP_006VZDC.1,MN258167.1,Homo sapiens,0.9952758305394697,6531
